x0,x1,y0,y1,v,a,r
123.0,267.0,56.0,57.0,4.0,0.0,1.0
119.0,263.0,52.0,53.0,5.0,0.0,1.0
115.0,259.0,47.0,48.0,6.0,0.0,1.0
111.0,255.0,41.0,42.0,7.0,0.0,1.0
107.0,251.0,34.0,35.0,8.0,0.0,1.0
103.0,247.0,26.0,27.0,9.0,0.0,1.0
99.0,243.0,17.0,18.0,10.0,0.0,1.0
95.0,239.0,7.0,8.0,10.0,0.0,1.0
91.0,235.0,-3.0,-2.0,10.0,0.0,1.0
87.0,231.0,-13.0,-12.0,10.0,0.0,1.0
83.0,227.0,-23.0,-22.0,10.0,0.0,1.0
79.0,223.0,-33.0,-32.0,10.0,0.0,1.0
75.0,219.0,-24.0,-23.0,-9.0,1.0,1.0
71.0,215.0,-15.0,-14.0,-8.0,0.0,1.0
67.0,211.0,-7.0,-6.0,-7.0,0.0,1.0
63.0,207.0,0.0,1.0,-6.0,0.0,1.0
59.0,203.0,6.0,7.0,-5.0,0.0,1.0
55.0,199.0,11.0,12.0,-4.0,0.0,1.0
51.0,195.0,15.0,16.0,-3.0,0.0,1.0
47.0,191.0,18.0,19.0,-2.0,0.0,1.0
43.0,187.0,20.0,21.0,-1.0,0.0,1.0
39.0,183.0,21.0,22.0,0.0,0.0,1.0
35.0,179.0,21.0,22.0,1.0,0.0,1.0
31.0,175.0,20.0,21.0,2.0,0.0,1.0
27.0,171.0,18.0,19.0,3.0,0.0,1.0
23.0,167.0,15.0,16.0,4.0,0.0,1.0
19.0,163.0,11.0,12.0,5.0,0.0,1.0
15.0,159.0,6.0,7.0,6.0,0.0,1.0
11.0,155.0,0.0,1.0,7.0,0.0,1.0
7.0,151.0,-7.0,-6.0,8.0,0.0,1.0
3.0,147.0,-15.0,-14.0,9.0,0.0,1.0
143.0,0.0,-23.0,0.0,10.0,0.0,1.0
139.0,0.0,-33.0,0.0,10.0,0.0,1.0
135.0,287.0,-24.0,-47.0,-9.0,1.0,1.0
131.0,283.0,-15.0,-38.0,-8.0,0.0,1.0
127.0,279.0,-7.0,-30.0,-7.0,0.0,1.0
123.0,275.0,0.0,-23.0,-6.0,0.0,1.0
119.0,271.0,6.0,-17.0,-5.0,0.0,1.0
115.0,267.0,11.0,-12.0,-4.0,0.0,1.0
111.0,263.0,15.0,-8.0,-3.0,0.0,1.0
107.0,259.0,18.0,-5.0,-2.0,0.0,1.0
103.0,255.0,20.0,-3.0,-1.0,0.0,1.0
99.0,251.0,21.0,-2.0,0.0,0.0,1.0
95.0,247.0,21.0,-2.0,1.0,0.0,1.0
91.0,243.0,20.0,-3.0,2.0,0.0,1.0
87.0,239.0,18.0,-5.0,3.0,0.0,1.0
83.0,235.0,15.0,-8.0,4.0,0.0,1.0
79.0,231.0,11.0,-12.0,5.0,0.0,1.0
75.0,227.0,6.0,-17.0,6.0,0.0,1.0
71.0,223.0,0.0,-23.0,7.0,0.0,1.0
67.0,219.0,-7.0,-30.0,8.0,0.0,1.0
63.0,215.0,-15.0,-38.0,9.0,0.0,1.0
59.0,211.0,-24.0,-47.0,10.0,0.0,1.0
55.0,207.0,-34.0,-57.0,10.0,0.0,1.0
51.0,203.0,-25.0,-48.0,-9.0,1.0,1.0
47.0,199.0,-16.0,-39.0,-8.0,0.0,1.0
43.0,195.0,-8.0,-31.0,-7.0,0.0,1.0
39.0,191.0,-1.0,-24.0,-6.0,0.0,1.0
35.0,187.0,5.0,-18.0,-5.0,0.0,1.0
31.0,183.0,10.0,-13.0,-4.0,0.0,1.0
27.0,179.0,14.0,-9.0,-3.0,0.0,1.0
23.0,175.0,17.0,-6.0,-2.0,0.0,1.0
19.0,171.0,19.0,-4.0,-1.0,0.0,1.0
15.0,167.0,20.0,-3.0,0.0,0.0,1.0
11.0,163.0,20.0,-3.0,1.0,0.0,1.0
7.0,159.0,19.0,-4.0,2.0,0.0,1.0
3.0,155.0,17.0,-6.0,3.0,0.0,1.0
151.0,0.0,-9.0,0.0,4.0,0.0,1.0
147.0,0.0,-13.0,0.0,5.0,0.0,1.0
143.0,287.0,-18.0,18.0,6.0,0.0,1.0
139.0,283.0,-24.0,12.0,7.0,0.0,1.0
135.0,279.0,-31.0,5.0,8.0,0.0,1.0
131.0,275.0,-22.0,14.0,-9.0,1.0,1.0
127.0,271.0,-13.0,23.0,-8.0,0.0,1.0
123.0,267.0,-5.0,31.0,-7.0,0.0,1.0
119.0,263.0,2.0,38.0,-6.0,0.0,1.0
115.0,259.0,8.0,44.0,-5.0,0.0,1.0
111.0,255.0,13.0,49.0,-4.0,0.0,1.0
107.0,251.0,17.0,53.0,-3.0,0.0,1.0
